"Item","AssignedFactor"
"Worry_Frequency","MR1"
"Nervous_Freq_30_Day","MR1"
"Restless_Freq_30_Day","MR1"
"Afraid_Freq_30_Day","MR1"
"Jittery_Freq_30_Day","MR1"
"Frustrated_Freq_30_Day","MR1"
"Upset_Freq_30_Day","MR1"
"Hopeless_Freq","MR1"
"Everything_Effort","MR1"
"Worthless_Freq","MR1"
"Irritable_Freq","MR1"
"Ashamed_Freq","MR1"
"Felt_Belong_Freq","MR1"
"Lonely_Frequency","MR1"
"Angry_Freq","MR1"
"Weigh_Possibilities","MR10"
"Like_Think_Over","MR10"
"Cautious_Person","MR10"
"If_Go_Wrong_It_Will","MR2"
"Optimistic_About_Future","MR2"
"Hardly_Expect_Go_My_Way","MR2"
"Rarely_Good_Happen","MR2"
"Expect_Good_Not_Bad","MR2"
"People_Kind","MR2"
"People_Mean","MR3"
"Upset_Think_Day","MR3"
"Minor_Setback_Irritate","MR3"
"Mood_Up_Down","MR3"
"Angry_Ready_Hit","MR3"
"Enjoy_Hurting_Say_Mean","MR3"
"When_Insult_Get_Even","MR3"
"Sometimes_Just_Hit_Someone","MR3"
"More_Sucessful","MR3"
"Others_More_Life","MR4"
"Disapoint_Acheivment","MR4"
"Gave_Up","MR4"
"Sense_Of_Direction","MR4"
"No_Good_Sense","MR4"
"Difficult_Arrange","MR4"
"Maintaining_Relationships_Hard","MR4"
"Dont_Fit_Community","MR4"
"Few_Close_Friends","MR4"
"No_Warm_Relationship","MR4"
"Activities_Trivial","MR4"
"Self_Attitude","MR4"
"Enjoy_Convo","MR5"
"Like_Time_Alone","MR5"
"Seek_Friends","MR5"
"I_Am_Warm_Person","MR5"
"Prefer_No_Others","MR5"
"Most_See_Love","MR5"
"Others_Describe_Giving","MR5"
"Backache_Frequency","MR6"
"Swea_Frequency","MR6"
"Hot_Flashes","MR6"
"Aches_Joints_Stiffness_Frequency","MR6"
"Falling_Asleep","MR6"
"Extremities_Aches","MR6"
"Actively_Carry_Plans","MR7"
"Keep_Work_Problems","MR7"
"Like_Difficult_Things","MR7"
"Like_Hard_Work","MR7"
"Fun_Tight_Rope","MR7"
"High_Standards","MR7"
"Plan_Future","MR7"
"Will","MR7"
"Change_For_Better","MR7"
"Too_Much_Get_Done","MR7"
"Dont_Give_Up","MR7"
"Know_Want_Life","MR7"
"Goal_Keep_Benefits","MR7"
"Overwhelmed_Responsibility","MR8"
"Not_Afraid_Opinion","MR8"
"Confidence_If_Contrary","MR8"
"Difficult_Voice_Opinion","MR8"
"Influenced_By_People","MR8"
"Social_Others_Lead","MR8"
"Live_Day_By_Day","MR9"
"Too_Many_Things","MR9"
"No_Sense_Planning","MR9"
